TS1_DELAY,TS2_DELAY,TS1_THROUGHPUT,TS2_THROUGHPUT
0.000189,0.001204,100170.000000,1001839.260000
0.000284,0.001316,99740.000000,1974500.640000
0.000383,0.001497,100020.000000,2984959.190000
0.000490,0.001737,99960.000000,4006343.810000
0.000574,0.001997,99040.000000,5000435.950000
0.000678,0.002373,98490.000000,5949323.640000
0.000786,0.002812,100220.000000,6887310.220000
0.000888,0.003564,100080.000000,7856197.640000
0.000951,0.004447,100060.000000,8773439.790000
0.001050,0.005258,99660.000000,9450167.700000
