TS1_DELAY,TS2_DELAY,TS1_THROUGHPUT,TS2_THROUGHPUT
0.000463,0.002971,97750.000000,968725.270000
0.000791,0.003287,93010.000000,2013193.410000
0.001057,0.003548,101260.000000,2905100.320000
0.001415,0.003908,97620.000000,3885037.200000
0.001757,0.004223,99620.000000,4757447.110000
0.002118,0.004564,96160.000000,5616062.710000
0.002366,0.004861,91030.000000,6234888.210000
0.002829,0.005145,90570.000000,6986114.110000
0.003128,0.005438,86080.000000,7583755.360000
0.003309,0.005745,83130.000000,8064527.760000
