TS1_DELAY,TS2_DELAY,TS1_THROUGHPUT,TS2_THROUGHPUT
0.000499,0.002968,97900.000000,968783.270000
0.001038,0.003307,93860.000000,2022181.580000
0.001621,0.003569,102890.000000,2920733.980000
0.002439,0.003951,100110.000000,3912663.660000
0.003358,0.004303,103650.000000,4819492.020000
0.004739,0.004652,101970.000000,5683656.450000
0.006263,0.004979,98290.000000,6320519.920000
0.008474,0.005299,100890.000000,7102153.710000
0.010777,0.005620,97130.000000,7721839.350000
0.012569,0.005923,96670.000000,8187729.710000
